Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-96.00049828318535, 29.831850683359033)",484737000000.0,0.006107615,0.483992579,0.064016072,0.842850719,0.069014181,0.720706427,0.181105344,0.746884826,6196,5.0,0.6636675235646958,0.44897959185922537,0.5945498199616525
"(-96.00125037682902, 30.096248935348598)",484737000000.0,0.000920935,0.306113245,0.020240344,0.604589192,0.010202,0.455766656,0.057113784,0.535641267,6196,5.0,0.6636675235646958,0.44897959185922537,0.7053923091355655
"(-96.00184199453821, 31.32517869243593)",482900000000.0,0.001955961,0.393329595,0.067432291,0.771151056,0.021938246,0.585669772,0.190781536,0.683315638,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5826217902001262
"(-96.00226294442761, 30.70775518864582)",481852000000.0,0.002023709,0.251776624,0.154045841,0.318671465,0.022706445,0.374835771,0.436108103,0.282145543,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.7172369460810725
"(-96.00231108884022, 30.094500690082228)",484737000000.0,0.000357685,0.307544141,0.018308852,0.605560772,0.003815269,0.457897884,0.051642976,0.536502673,6196,5.0,0.6636675235646958,0.44897959185922537,0.7074593604399133
"(-96.0023242314646, 30.947294041119626)",483130000000.0,0.007077077,0.091334525,0.086986567,0.449678199,0.080006982,0.135867635,0.246167596,0.398296602,3525,1.333333333,0.3775706940874036,0.0,0.6652964727543309
"(-96.00237430767535, 30.10782278183706)",484737000000.0,0.004583786,0.294631646,0.031480578,0.59406411,0.051735358,0.438665557,0.088950927,0.52630969,6196,5.0,0.6636675235646958,0.44897959185922537,0.6935509920920873
"(-96.00291639654634, 30.103645306154068)",484737000000.0,0.003171324,0.298535351,0.027268985,0.597374001,0.035719342,0.444479874,0.077021897,0.529244252,6196,5.0,0.6636675235646958,0.44897959185922537,0.6983669201355654
"(-96.0029871942846, 30.21687544451264)",484737000000.0,0.011711158,0.191021672,0.058442034,0.503292099,0.132553187,0.284345197,0.165317288,0.445830886,6196,5.0,0.6636675235646958,0.44897959185922537,0.6968223746573047
"(-96.00351231001873, 31.00066920542368)",483130000000.0,0.020599457,0.109204352,0.100560464,0.489446553,0.233338307,0.162483588,0.28461467,0.433555373,3525,1.333333333,0.3775706940874036,0.0,0.5968710903630267
"(-96.00396364659404, 29.84110598335699)",484737000000.0,0.004117289,0.475651174,0.062841671,0.832984074,0.046445711,0.708282443,0.17777894,0.738137022,6196,5.0,0.6636675235646958,0.44897959185922537,0.6061272364833916
"(-96.00409426343015, 30.094797080785394)",484737000000.0,0.002131444,0.306823551,0.018347055,0.604406795,0.023928063,0.456824612,0.051751183,0.535479553,6196,5.0,0.6636675235646958,0.44897959185922537,0.7008614331790438
"(-96.00438655493735, 31.509898456587052)",482900000000.0,0.002366762,0.575057348,0.077990895,0.942017715,0.026596353,0.856341514,0.220688011,0.834806655,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5152404332870829
"(-96.0044663430656, 29.737562157599555)",484737000000.0,0.009724348,0.543582784,0.046193188,0.928467509,0.110024601,0.809462187,0.130623324,0.822792992,6196,5.0,0.6636675235646958,0.44897959185922537,0.5522184100486089
"(-96.00476611468629, 29.864386958100013)",484737000000.0,0.002633192,0.461445172,0.050154765,0.811408516,0.029617421,0.687123522,0.141844202,0.719008052,6196,5.0,0.6636675235646958,0.44897959185922537,0.6211164425268699
"(-96.00512191210983, 30.302341978572585)",481852000000.0,0.012273004,0.115913384,0.094963125,0.436873486,0.138924011,0.172476257,0.268760617,0.386943896,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.6564360612115073
"(-96.00553096175206, 29.94374655394554)",484737000000.0,0.002901325,0.420951769,0.07445423,0.738317573,0.032657798,0.626811216,0.210670666,0.654205349,6196,5.0,0.6636675235646958,0.44897959185922537,0.6422288099181742
"(-96.00592577891317, 29.797096697010915)",484737000000.0,0.003959062,0.501719903,0.04419631,0.872671382,0.044651568,0.747110131,0.124967314,0.773323938,6196,5.0,0.6636675235646958,0.44897959185922537,0.5951203562225221
"(-96.00633077136504, 30.110172751021437)",484737000000.0,0.00897322,0.291364872,0.033645107,0.590018262,0.101507498,0.433799908,0.095081799,0.522722626,6196,5.0,0.6636675235646958,0.44897959185922537,0.6774316081355656
"(-96.0063361305182, 31.372681815404434)",482900000000.0,0.012386705,0.4406376,0.101736047,0.813295611,0.140213266,0.656131989,0.287944424,0.720681157,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5211979025044743
"(-96.00637126250373, 30.3594821709614)",481852000000.0,0.003301328,0.078754091,0.061414052,0.396700028,0.037193463,0.117129892,0.173735312,0.351325958,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.710747346341942
"(-96.00727282314021, 30.064515487616454)",484737000000.0,0.006256966,0.335614571,0.012103354,0.629245875,0.070707683,0.499706975,0.034066354,0.557501974,6196,5.0,0.6636675235646958,0.44897959185922537,0.6758347435268698
