,Points,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,score
37,"(-96.34240354556277, 30.683908991689176)",0.051349007666443014,1.6676693088422518,3.8416643475459478,0.7511516390916774,0.009584366082016455,0.03620485025617164,0.050768783367678066,0.035001472004650876,0.9708062529855326
38,"(-96.32123874087726, 30.67878280128052)",0.33855326954255477,0.9122373398593239,3.589795135100138,0.9525491482201621,0.06466962899009626,0.019729117480342662,0.047414454245762745,0.04444867939058424,0.9541323706260926
39,"(-96.4537726172716, 30.74798192452915)",0.19771967334407764,8.98553983042149,10.682025892993739,1.6841538043271433,0.037657997539341945,0.1958052962949869,0.1418669517921409,0.07876698322992187,0.9038480530080173
40,"(-96.44479170892009, 30.748754888886715)",0.17358440937377423,8.654021772282219,10.430289499972684,1.9774466778257591,0.03302889714760207,0.18857499209748504,0.13851439152502162,0.09252484256367395,0.9015149562582505
41,"(-96.44466401357138, 30.76144402323662)",0.7648173566387577,9.31318648014532,11.154934515413458,2.7335210298600896,0.14642631725294547,0.20295116629703797,0.14816502668896303,0.1279909773424147,0.8494689779588467
42,"(-96.4040048645817, 30.783646456192844)",0.3818697189887989,9.418202129294437,11.400574470598112,4.212846381378255,0.0729776463934737,0.20524152445462365,0.1514363961714842,0.19738356043610628,0.8429613373994422
43,"(-96.32214688624231, 30.7911333546211)",0.585783783126155,8.638692851823878,11.24474305176294,6.721457288045538,0.11208799858771315,0.18824067318117865,0.1493610735815084,0.3150581413604451,0.7877661018851214
44,"(-96.36412419416149, 30.761626128813322)",0.3096540429302753,7.025978581468386,9.316828337849712,4.375485316142793,0.059126809098153724,0.15306788403126176,0.1236856033378416,0.20501267041068721,0.8572747519662425
45,"(-96.4308201206116, 30.7617625819863)",0.23953587957580136,8.839091321512994,10.726400051764408,2.5262793352014477,0.045678270981825204,0.19261130054518627,0.14245791537827976,0.11826962936286535,0.8862206153134411
46,"(-96.28953905553941, 30.784762849471182)",0.7284043500295738,8.450283054057286,11.130331529655148,7.185410192989981,0.13944236781835884,0.1841315149673296,0.14783737047876655,0.3368213663838497,0.7718287030596098
47,"(-96.3966790493947, 30.817047009321495)",1.0927510458375314,11.287198383537584,13.464326895064904,6.543546207167238,0.20932341135568963,0.24600374277243395,0.17892091796194196,0.3067126415348212,0.7474250796286837
48,"(-96.39461424380085, 30.75334766195959)",0.17012173538510894,7.286751526900383,9.250697586570988,2.6628872999918434,0.032364762479876026,0.15875525965277254,0.12280489107168446,0.12467767174397451,0.8963879615207244
49,"(-96.31406448092116, 30.760301776457307)",0.131597500786172,6.540339721646061,9.185995009827296,4.9790616622034785,0.024975883299070616,0.14247625380046366,0.12194319886513492,0.23332538857266522,0.8584875089346066
50,"(-96.37679048484014, 30.79154172273692)",0.4326002543771087,9.22021947865172,11.481351483016974,5.401232914478454,0.08270767219837671,0.20092358534141483,0.1525121635608637,0.2531287088315889,0.8185002813834821
51,"(-96.34224109509867, 30.806158384910564)",0.5537360923949263,9.734543474827971,12.251944321037,6.440067082200207,0.10594130891815641,0.21214082934103687,0.16277471995912168,0.30185861549493215,0.7887685232624607
52,"(-96.24708807005257, 30.790802006867082)",0.5752322532293686,9.752673457127312,12.391024564184253,7.418643280271918,0.11006423405633003,0.21253623853188247,0.16462695471755714,0.34776192545207657,0.7689060164241381
53,"(-96.23004110312966, 30.803121480970677)",0.704349251617433,10.988958496040816,13.604304713976797,7.135523473049301,0.13482864303705983,0.2394992249717038,0.18078510640259693,0.3344812669897558,0.7597805446583794
54,"(-96.22879479222384, 30.81539394344334)",0.1199604407608658,11.760277931615228,14.390523005650603,6.484981152832949,0.022743916033739393,0.2563214583786865,0.19125575855708116,0.3039654565459964,0.8012007750400343
55,"(-96.19626996246868, 30.810226487333548)",0.8733545905005964,12.519698450826823,14.854711945959021,8.049279448139416,0.16724356426571488,0.27288418017593447,0.19743770697954877,0.3773439728601887,0.7245687348430683
56,"(-96.19921110515867, 30.667295878884516)",0.4740840857332153,6.005592588348797,7.328591725735392,4.671043446762742,0.09066419673515848,0.130813587627217,0.09720678163307209,0.21887678902192642,0.8493666296819313
57,"(-96.21382193838924, 30.709423336707754)",0.3213381176996098,6.460410429254294,8.46094097429938,5.317232282720205,0.06136779370716375,0.14073302116472966,0.11228711647730923,0.24918838507980245,0.8425389919752532
58,"(-96.20859928436234, 30.74768325774976)",0.14624129418131993,8.562934421894417,10.748907539583977,7.595334365393703,0.02778453663824455,0.18658840573912872,0.1427576642881255,0.3560501973955304,0.7976511124736763
59,"(-96.24502265063684, 30.663058548252906)",0.3599241870538464,3.2815176981740057,4.890801441650529,1.953164615064847,0.0687685326832601,0.07140237418295277,0.06474092022975587,0.09138581317024566,0.9220605480673576
60,"(-96.1781869937398, 30.6387751479013)",1.1418215596186412,7.142777641011088,7.863569908272368,5.9306857773923465,0.21873504799022184,0.1556152346498549,0.10433148290103351,0.27796442312948855,0.7816375211310638
61,"(-96.18475664595364, 30.838806215422952)",0.6867445787044759,14.5143751978463,16.923849501008636,6.697890286986508,0.1314520983107169,0.31638745036755567,0.22499394654830854,0.3139526542696036,0.7492064240706016
62,"(-96.18270365709982, 30.74238916561268)",0.49299763038676114,9.347829285130627,11.389578368478753,8.240103370930077,0.09429178071653302,0.2037067149380513,0.1512899529233859,0.38629519167417425,0.7613240508354215
63,"(-96.22370603199901, 30.772862758303337)",0.7393391245431425,9.487441641495558,11.82674659335671,8.753481170496865,0.141539637980667,0.20675161635884937,0.15711204643630247,0.41037685266804214,0.736325839623183
64,"(-96.19448000259236, 30.71901792877042)",0.36417737073481504,7.773968135990285,9.727789041786613,6.604196147154158,0.06958428569379019,0.16938130009704738,0.12915867185539595,0.30955762488878763,0.8085095371313987
65,"(-96.31601780851707, 30.671350949807604)",0.08143367912577906,0.6077202049861353,3.202484106834077,0.6797578680043522,0.015354552171927579,0.013087694895875485,0.04225634600086825,0.031652514192588146,0.9758894550921247
66,"(-96.31150570271588, 30.673018889505595)",0.06009317368868725,0.891936072401061,3.4172976769745325,0.8183733405186416,0.01126148146011275,0.01928635324559192,0.04511717764880044,0.03815472527458422,0.972990677038134
67,"(-96.31357988348456, 30.66692330236816)",0.15783086014427422,0.6195700505985592,2.9864208351930115,0.6027198836556696,0.030007394627501186,0.013346136288034171,0.03937887115110726,0.02803879613874675,0.9731751487835334
68,"(-96.23058295681815, 30.69495453352954)",0.980531541366626,5.0599401740381165,7.0539417641459785,3.9070982371850964,0.18779991143680344,0.11018920698579834,0.09354906437757186,0.18304144598515604,0.8390507003399796
69,"(-96.28976734595136, 30.68382691176036)",0.13838785539787507,2.3559654204645932,4.705094448881852,1.658106494837001,0.026278261148832836,0.05121637117578489,0.06226772246200046,0.0775451491781314,0.9446284155027407
70,"(-96.24514542824528, 30.702897628842212)",0.6152401596626886,4.799539074874319,6.97706494217787,3.832263901608779,0.11773767883700652,0.10450994121401602,0.09252523871732604,0.17953109726814695,0.8627117453271034
71,"(-96.29342774787372, 30.666378255194346)",0.391698971526875,1.1358291409007817,3.4856816292875603,0.43899044627457934,0.07486287942139927,0.02460558407969124,0.04602789746440557,0.020358532580300483,0.9598738165790812
72,"(-96.25223581234354, 30.68607829404038)",0.4741699533712964,3.6760073557410506,5.778474738070506,2.6204169501118613,0.09068066599431256,0.08000606908568966,0.07656272393499723,0.12268546138940964,0.9000641294353048
73,"(-96.27852700786308, 30.697235681546335)",0.15459168104623947,3.431190431154671,5.774223511905752,2.7408398951712534,0.029386125879412174,0.07466668924197455,0.07650610720288531,0.12833429260347967,0.917266496626101
74,"(-96.30645049716577, 30.670713934043377)",0.27681173401374576,1.0937580665272446,3.42261677110867,0.562507869803862,0.05282771308419628,0.02368802722820712,0.04518801597073383,0.026152520405208785,0.9644342708699428
75,"(-96.27849889244946, 30.667536519378125)",0.3930879124650767,1.6618766109208727,3.874613264361077,0.9325563227142353,0.07512927580509096,0.036078513343090986,0.05120758853221294,0.04351085066766408,0.9477204154695676
76,"(-96.26217888860289, 30.704029613831032)",0.5932757231209141,4.270043867917938,6.561947353580793,3.5353960100932516,0.11352493925707163,0.09296181789638508,0.08699680988345249,0.1656055400479594,0.8724082576360724
77,"(-96.26731198797552, 30.676208027070746)",0.22860578056921044,2.5556211946238387,4.719464510743026,1.6081819387610354,0.04358189757337934,0.0555708005847332,0.06245909923455868,0.07520327495664135,0.9394840507049271
78,"(-96.32196922306943, 30.865248383461708)",0.7506275632403555,13.744273563083972,16.340831837242668,2.3557401186773075,0.14370474029981692,0.29959177681186067,0.21722946787633912,0.11026993089136981,0.831139303403501
79,"(-96.31991119164506, 30.87242372515156)",1.01306389705837,14.240074683431994,16.841204245697636,1.926708076978292,0.19403955897752104,0.310405042736797,0.2238932983825965,0.09014478291570525,0.8212598807548426
80,"(-96.31540608681331, 30.872012228101138)",0.8746656392650004,14.218723289349928,16.83078648821956,1.7492606981356267,0.16749502107001418,0.30993937557187523,0.22375455737906363,0.08182103454726108,0.8326597490078099
81,"(-96.23957997130175, 30.906618732770433)",1.8786421521165924,17.33494662022939,20.016538756486373,3.476223776756878,0.3600559176343665,0.37790322271816135,0.266181583314019,0.16282987334663526,0.7246524724960018
82,"(-96.38449057057153, 30.8556928459859)",0.1774255517283305,13.573010726129258,15.908603586377858,5.830068070323408,0.03376562136988873,0.2958565884005267,0.2114731636614987,0.2732446212337713,0.8002538310492696
83,"(-96.25921105186661, 30.831254325287684)",1.1820890240590978,12.033955999494845,14.71379972547839,4.586106065817033,0.22645827553167497,0.26229029064701165,0.19556107442012619,0.21489252399260958,0.7740913421720388
84,"(-96.34193123538296, 30.89257177171307)",0.6640444911475399,15.66288626294993,18.20303197306337,2.796514722643659,0.12709826218397574,0.34143611414624964,0.2420297683408589,0.13094590206967383,0.817001960853602
85,"(-96.29270795223019, 30.81084594244397)",1.2636398403082982,10.166840934324796,12.83773202240554,5.472563187254206,0.24209957599188014,0.22156910046904946,0.17057608927647358,0.2564746880481333,0.7634088229617254
86,"(-96.25434837380904, 30.934982708591072)",0.802881641020106,19.003271106874536,21.679957080856223,3.911960348856891,0.1537269788060075,0.4142888531308434,0.28833455895236476,0.18326951919964501,0.7688828721569346
87,"(-96.21563465777126, 30.886939540400473)",0.41560687514252287,16.54284771695033,19.20926730185649,4.7170818593041055,0.079448372504427,0.3606277956800082,0.25543055057261727,0.2210363709992782,0.7900823256556972
88,"(-96.28057518512836, 30.85860558958317)",1.8079507328894504,13.533796814202248,16.205825525948548,2.341850466525526,0.34649743006863487,0.29500134536007905,0.21543148869016263,0.1096183914311045,0.7716599964659356
89,"(-96.35133152194308, 30.840095056909856)",1.1699233386860908,12.121421153309782,14.611690533806977,4.814118333208508,0.22412491887167474,0.2641978780415349,0.19420121057685338,0.22558818346677878,0.7702675542857937
90,"(-96.28393597919083, 30.9172041924335)",0.8972811460525257,17.48526637099682,20.141467488619586,1.9676995856502202,0.17183263475670688,0.381181649030868,0.26784535190363395,0.09206762339750553,0.8086022952174488
